update_step,env_step,returned_episode_returns,return_red,return_green,eat_own_coins,loss
1,3200,-0.0006249999860301614,0.0,0.03999999910593033,0.46875,0.0
2,6400,-0.06468749791383743,0.019999999552965164,3.919999837875366,0.4375,0.0
3,9600,-0.2750000059604645,1.9799998998641968,-3.93999981880188,0.78125,0.0
4,12800,0.33937498927116394,0.0,2.0199999809265137,0.625,0.0
5,16000,-0.09343750029802322,0.019999999552965164,3.919999837875366,0.75,0.0
6,19200,-0.060624998062849045,2.0,-4.0,0.8125,0.0
7,22400,0.12531249225139618,2.0,-3.93999981880188,0.59375,0.0
8,25600,0.1521874964237213,1.9799998998641968,1.9799998998641968,0.53125,0.0
9,28800,-0.2537499964237213,0.019999999552965164,-0.019999999552965164,0.46875,0.0
10,32000,-0.6187499761581421,1.9799998998641968,-1.959999918937683,0.5,0.0
11,35200,0.0009374999790452421,0.019999999552965164,1.9399999380111694,0.6875,0.0
12,38400,0.09406249970197678,1.9799998998641968,-3.919999837875366,0.59375,0.0
13,41600,0.12187499552965164,-0.03999999910593033,4.0,0.53125,0.0
14,44800,-0.1837499886751175,-3.93999981880188,3.93999981880188,0.59375,0.0
15,48000,0.18437500298023224,1.9799998998641968,-1.9799998998641968,0.59375,0.0
16,51200,-0.125,0.0,0.0,0.625,0.0
17,54400,-0.1290625035762787,0.019999999552965164,-0.03999999910593033,0.40625,0.0
18,57600,-0.5256249904632568,2.0199999809265137,-4.039999961853027,0.75,0.0
19,60800,0.029999999329447746,3.9599997997283936,-7.919999599456787,0.46875,0.0
20,64000,-0.09031249582767487,0.019999999552965164,-0.019999999552965164,0.8125,0.0
21,67200,0.2459374964237213,2.0199999809265137,-2.059999942779541,0.65625,0.0
22,70400,-0.15312500298023224,3.9800000190734863,-7.960000038146973,0.875,0.0
23,73600,0.15281249582767487,2.0,-4.0,0.53125,0.0
24,76800,-0.1862500011920929,1.9799998998641968,-3.93999981880188,0.53125,0.0
25,80000,-0.06093749776482582,0.019999999552965164,1.959999918937683,0.78125,0.0
26,83200,0.09593749791383743,2.0,-2.0,0.75,0.0
27,86400,0.3084374964237213,1.9799998998641968,-1.959999918937683,0.46875,0.0
28,89600,-0.09312500059604645,0.0,2.0,0.5,0.0
29,92800,-0.029374999925494194,0.0,1.9799998998641968,0.8125,0.0
30,96000,0.15437500178813934,0.019999999552965164,-0.019999999552965164,0.59375,0.0
31,99200,-0.02968749962747097,1.9799998998641968,-1.959999918937683,0.75,0.0
